sample,CAN_ID,RX_ID,LEN,Motor_ID_byte,p_out_rad,v_out_rad_s,t_out_Nm,p_cmd_rad,v_cmd_rad_s,kp,kd,raw_bytes
300,2,2,8,2,0.1581,2.4542,0.0794,0.1697,0.2500,80.00,3.00,02 81 9E 86 48 02
301,2,2,8,2,0.1841,2.8694,0.2063,0.1955,0.2500,80.00,3.00,02 81 E2 87 58 06
302,2,2,8,2,0.2096,2.2589,0.5556,0.2210,0.2500,80.00,3.00,02 82 25 85 C8 11
303,2,2,8,2,0.2352,2.2833,0.1429,0.2467,0.2500,80.00,3.00,02 82 68 85 D8 04
304,2,2,8,2,0.2607,1.7216,0.5556,0.2725,0.2500,80.00,3.00,02 82 AB 84 68 11
305,2,2,8,2,0.2859,2.0391,0.5238,0.2980,0.2500,80.00,3.00,02 82 ED 85 38 10
306,2,2,8,2,0.3119,1.9414,0.2698,0.3238,0.2500,80.00,3.00,02 83 31 84 F8 08
307,2,2,8,2,0.3374,1.8437,0.4921,0.3493,0.2500,80.00,3.00,02 83 74 84 B8 0F
308,2,2,8,2,0.3630,2.0391,0.5238,0.3750,0.2500,80.00,3.00,02 83 B7 85 38 10
309,2,2,8,2,0.3889,1.9414,0.6825,0.4008,0.2500,80.00,3.00,02 83 FB 84 F8 15
310,2,2,8,2,0.4137,1.6239,0.6508,0.4263,0.2500,80.00,3.00,02 84 3C 84 28 14
311,2,2,8,2,0.4397,2.0147,0.4603,0.4520,0.2500,80.00,3.00,02 84 80 85 28 0E
312,2,2,8,2,0.4652,2.3321,0.1429,0.4775,0.2500,80.00,3.00,02 84 C3 85 F8 04
313,2,2,8,2,0.4911,2.1123,0.1111,0.5033,0.2500,80.00,3.00,02 85 07 85 68 03
314,2,2,8,2,0.5171,2.9670,-0.1111,0.5290,0.2500,80.00,3.00,02 85 4B 87 97 FC
315,2,2,8,2,0.5426,3.1868,0.1746,0.5545,0.2500,80.00,3.00,02 85 8E 88 28 05
316,2,2,8,2,0.5686,2.5763,0.1429,0.5803,0.2500,80.00,3.00,02 85 D2 86 98 04
317,2,2,8,2,0.5938,2.0147,0.4603,0.6060,0.2500,80.00,3.00,02 86 14 85 28 0E
318,2,2,8,2,0.6182,2.4054,0.3968,0.6315,0.2500,80.00,3.00,02 86 54 86 28 0C
319,2,2,8,2,0.6418,2.6740,0.6825,0.6572,0.2500,80.00,3.00,02 86 92 86 D8 15
